job,company,salary,experience,education,address
Python开发,北京智胜新格科技有限公司,15k-30k,经验3-5年,本科及以上,北京 
python实习,上海骞云信息科技有限公司,4k-6k,经验应届毕业生,本科及以上,上海 
Python开发工程师,广州易度网络信息有限公司,6k-12k,经验应届毕业生,学历不限,广州 
2621XS-资深Python开发工程师,平安好医投资管理有限公司,20k-30k,经验3-5年,本科及以上,上海 
Python 后端工程师（实习）,Gekko Artificial Intelligence Limited,6k-12k,经验应届毕业生,本科及以上,深圳 
高级python开发工程师,达而观信息科技（上海）有限公司,20k-30k,经验5-10年,本科及以上,深圳 
高级python开发工程师,达而观信息科技（上海）有限公司,20k-30k,经验3-5年,本科及以上,北京 
python开发,浮石（北京）投资有限公司,12k-18k,经验1-3年,本科及以上,上海 
python工程师,成都中大智圣科技有限公司,15k-30k,经验3-5年,本科及以上,北京 
golang/Python开发工程师,北京旷视科技有限公司,20k-40k,经验3-5年,本科及以上,北京 
python后端工程师,上海众言网络科技有限公司,15k-25k,经验3-5年,本科及以上,上海 
PTBU-后端开发工程师（python),广州酷狗计算机科技有限公司,15k-30k,经验3-5年,本科及以上,广州 
高级python开发工程师,烟台星商电子商务有限公司,10k-20k,经验不限,学历不限,烟台 
Python web高级工程师,广州德利信息科技有限公司,12k-24k,经验3-5年,本科及以上,广州 
python开发,上海汉领智能科技有限公司,6k-8k,经验1年以下,学历不限,上海 
高级python工程师,北京字节跳动科技有限公司,30k-60k,经验3-5年,本科及以上,北京 
Python架构,易居（中国）企业管理集团有限公司,20k-30k,经验5-10年,本科及以上,上海 
python开发工程师,北京木瓜移动科技股份有限公司,10k-20k,经验1-3年,本科及以上,北京 
Python后台开发工程师,深圳松茂科技有限公司,15k-25k,经验3-5年,学历不限,深圳 
python爬虫,长沙丢丢网络科技有限公司,15k-20k,经验3-5年,大专及以上,长沙 
python开发工程师,深信服科技股份有限公司,12k-24k,经验不限,本科及以上,深圳 
python开发,苏州市软件评测中心有限公司,10k-16k,经验1-3年,本科及以上,上海 
python图像工程师,微幻科技（北京）有限公司,10k-15k,经验1-3年,本科及以上,北京 
